skill_id,skill_name,skill_name_lower,skill_category,regex_pattern
1,Python,python,Programming,"(^|[\s,;/\(\[])python($|[\s,;/\)\]])"
2,SQL,sql,Programming,"(^|[\s,;/\(\[])sql($|[\s,;/\)\]])"
3,Java,java,Programming,"(^|[\s,;/\(\[])java($|[\s,;/\)\]])"
4,Scala,scala,Programming,"(^|[\s,;/\(\[])scala($|[\s,;/\)\]])"
5,R,r,Programming,"(^|[\s,;/\(\[])r($|[\s,;/\)\]])"
6,Go,go,Programming,"(^|[\s,;/\(\[])go($|[\s,;/\)\]])"
7,Apache Spark,apache spark,Big Data,"(^|[\s,;/\(\[])apache\ spark($|[\s,;/\)\]])"
8,PySpark,pyspark,Big Data,"(^|[\s,;/\(\[])pyspark($|[\s,;/\)\]])"
9,Kafka,kafka,Big Data,"(^|[\s,;/\(\[])kafka($|[\s,;/\)\]])"
10,Hadoop,hadoop,Big Data,"(^|[\s,;/\(\[])hadoop($|[\s,;/\)\]])"
11,Hive,hive,Big Data,"(^|[\s,;/\(\[])hive($|[\s,;/\)\]])"
12,Flink,flink,Big Data,"(^|[\s,;/\(\[])flink($|[\s,;/\)\]])"
13,Elasticsearch,elasticsearch,Big Data,"(^|[\s,;/\(\[])elasticsearch($|[\s,;/\)\]])"
14,AWS,aws,Cloud,"(^|[\s,;/\(\[])aws($|[\s,;/\)\]])"
15,GCP,gcp,Cloud,"(^|[\s,;/\(\[])gcp($|[\s,;/\)\]])"
16,Azure,azure,Cloud,"(^|[\s,;/\(\[])azure($|[\s,;/\)\]])"
17,BigQuery,bigquery,Cloud DW,"(^|[\s,;/\(\[])bigquery($|[\s,;/\)\]])"
18,Snowflake,snowflake,Cloud DW,"(^|[\s,;/\(\[])snowflake($|[\s,;/\)\]])"
19,Redshift,redshift,Cloud DW,"(^|[\s,;/\(\[])redshift($|[\s,;/\)\]])"
20,Databricks,databricks,Platform,"(^|[\s,;/\(\[])databricks($|[\s,;/\)\]])"
21,Airflow,airflow,Orchestration,"(^|[\s,;/\(\[])airflow($|[\s,;/\)\]])"
22,Prefect,prefect,Orchestration,"(^|[\s,;/\(\[])prefect($|[\s,;/\)\]])"
23,Dagster,dagster,Orchestration,"(^|[\s,;/\(\[])dagster($|[\s,;/\)\]])"
24,dbt,dbt,Transformation,"(^|[\s,;/\(\[])dbt($|[\s,;/\)\]])"
25,PostgreSQL,postgresql,Database,"(^|[\s,;/\(\[])postgresql($|[\s,;/\)\]])"
26,MySQL,mysql,Database,"(^|[\s,;/\(\[])mysql($|[\s,;/\)\]])"
27,MongoDB,mongodb,Database,"(^|[\s,;/\(\[])mongodb($|[\s,;/\)\]])"
28,Redis,redis,Database,"(^|[\s,;/\(\[])redis($|[\s,;/\)\]])"
29,Power BI,power bi,BI/Visualization,"(^|[\s,;/\(\[])power\ bi($|[\s,;/\)\]])"
30,Tableau,tableau,BI/Visualization,"(^|[\s,;/\(\[])tableau($|[\s,;/\)\]])"
31,Looker,looker,BI/Visualization,"(^|[\s,;/\(\[])looker($|[\s,;/\)\]])"
32,Superset,superset,BI/Visualization,"(^|[\s,;/\(\[])superset($|[\s,;/\)\]])"
33,Docker,docker,DevOps,"(^|[\s,;/\(\[])docker($|[\s,;/\)\]])"
34,Kubernetes,kubernetes,DevOps,"(^|[\s,;/\(\[])kubernetes($|[\s,;/\)\]])"
35,Git,git,DevOps,"(^|[\s,;/\(\[])git($|[\s,;/\)\]])"
36,CI/CD,ci/cd,DevOps,"(^|[\s,;/\(\[])ci/cd($|[\s,;/\)\]])"
37,Terraform,terraform,DevOps,"(^|[\s,;/\(\[])terraform($|[\s,;/\)\]])"
38,TensorFlow,tensorflow,ML/AI,"(^|[\s,;/\(\[])tensorflow($|[\s,;/\)\]])"
39,PyTorch,pytorch,ML/AI,"(^|[\s,;/\(\[])pytorch($|[\s,;/\)\]])"
40,MLflow,mlflow,ML/AI,"(^|[\s,;/\(\[])mlflow($|[\s,;/\)\]])"
41,Data Vault,data vault,Methodology,"(^|[\s,;/\(\[])data\ vault($|[\s,;/\)\]])"
42,Medallion,medallion,Methodology,"(^|[\s,;/\(\[])medallion($|[\s,;/\)\]])"
